age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
40380,Young Adult,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,Standard Full-time Work,United-States,<=50K
43920,Young Adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,Extended Work Hours,United-States,>50K
4139,Young Adult,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
3174,Adult,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,<=50K
45793,Young Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,<=50K
3949,Adult,Private,HS-grad,Separated,Prof-specialty,Unmarried,White,Female,Part-time Work,United-States,<=50K
25969,Young Adult,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,<=50K
28418,Young Adult,Federal-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
21575,Adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Standard Full-time Work,United-States,<=50K
41275,Young Adult,Private,Assoc-voc,Divorced,Other-service,Unmarried,Amer-Indian-Eskimo,Female,Standard Full-time Work,United-States,<=50K
24138,Middle-aged Adult,Private,Some-college,Widowed,Craft-repair,Unmarried,White,Female,Reduced Full-time Work,United-States,<=50K
9577,Young Adult,Private,HS-grad,Widowed,Prof-specialty,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
5466,Teen,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,Standard Full-time Work,United-States,<=50K
47702,Teen,Private,HS-grad,Never-married,Sales,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
8143,Teen,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,Part-time Work,United-States,<=50K
5848,Elderly,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Part-time Work,United-States,>50K
6871,Young Adult,Private,Masters,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,Standard Full-time Work,United-States,<=50K
32183,Adult,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,Extended Work Hours,United-States,>50K
42666,Adult,Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,White,Male,Standard Full-time Work,United-States,<=50K
27326,Teen,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
43478,Adult,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,Heavy Overtime,United-States,>50K
11240,Adult,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,Male,Extended Work Hours,United-States,>50K
12470,Young Adult,Local-gov,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Standard Full-time Work,United-States,<=50K
42950,Young Adult,Private,Assoc-voc,Never-married,Adm-clerical,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
46260,Adult,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Extended Work Hours,United-States,<=50K
30077,Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,>50K
15146,Adult,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,Standard Full-time Work,United-States,>50K
15898,Teen,Private,12th,Never-married,Handlers-cleaners,Own-child,Black,Female,Extended Work Hours,United-States,<=50K
2557,Teen,Local-gov,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,Reduced Full-time Work,United-States,<=50K
30239,Young Adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Standard Full-time Work,United-States,>50K
17002,Adult,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,Extended Work Hours,United-States,>50K
36083,Adult,Self-emp-not-inc,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
21077,Adult,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,Standard Full-time Work,United-States,>50K
17847,Young Adult,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,Reduced Full-time Work,United-States,<=50K
7284,Adult,Federal-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
5387,Teen,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,Standard Full-time Work,United-States,<=50K
18440,Elderly,Federal-gov,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,Standard Full-time Work,United-States,>50K
30185,Adult,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Standard Full-time Work,United-States,<=50K
4553,Teen,Private,12th,Never-married,Prof-specialty,Own-child,Black,Male,Standard Full-time Work,United-States,<=50K
38142,Adult,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Standard Full-time Work,United-States,<=50K
22879,Teen,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,Standard Full-time Work,India,<=50K
1225,Young Adult,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
48773,Teen,Private,Some-college,Divorced,Adm-clerical,Other-relative,White,Female,Reduced Full-time Work,United-States,<=50K
17698,Adult,Private,HS-grad,Divorced,Sales,Not-in-family,White,Female,Reduced Full-time Work,United-States,<=50K
41021,Teen,Private,Some-college,Married-civ-spouse,Other-service,Other-relative,White,Female,Reduced Full-time Work,United-States,<=50K
39806,Middle-aged Adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,Standard Full-time Work,United-States,>50K
36562,Young Adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Male,Standard Full-time Work,China,<=50K
16664,Young Adult,Local-gov,Some-college,Never-married,Transport-moving,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
19214,Adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,Standard Full-time Work,United-States,>50K
18194,Middle-aged Adult,Private,9th,Divorced,Prof-specialty,Not-in-family,White,Female,Part-time Work,United-States,<=50K
10207,Adult,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,Reduced Full-time Work,United-States,<=50K
22270,Teen,Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,Other,Female,Overtime Work,Guatemala,<=50K
20193,Adult,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Other,Male,Extended Work Hours,United-States,>50K
47445,Young Adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Standard Full-time Work,United-States,<=50K
25316,Adult,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,Overtime Work,United-States,>50K
30924,Adult,Private,7th-8th,Never-married,Other-service,Own-child,White,Male,Standard Full-time Work,Mexico,<=50K
450,Teen,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Black,Female,Standard Full-time Work,United-States,<=50K
3897,Teen,Private,Some-college,Never-married,Prof-specialty,Own-child,Black,Male,Reduced Full-time Work,United-States,<=50K
5743,Middle-aged Adult,Self-emp-not-inc,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,<=50K
44723,Teen,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
47461,Young Adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Standard Full-time Work,United-States,<=50K
33984,Teen,Private,10th,Never-married,Craft-repair,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
17826,Adult,Private,Some-college,Never-married,Other-service,Own-child,Black,Female,Standard Full-time Work,United-States,<=50K
7442,Teen,Private,Assoc-acdm,Never-married,Craft-repair,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
30390,Adult,Private,10th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,Standard Full-time Work,United-States,<=50K
10853,Young Adult,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
16445,Middle-aged Adult,Private,10th,Divorced,Other-service,Other-relative,White,Female,Reduced Full-time Work,United-States,<=50K
26612,Middle-aged Adult,State-gov,Assoc-voc,Widowed,Exec-managerial,Unmarried,Black,Female,Standard Full-time Work,United-States,<=50K
46263,Teen,Private,HS-grad,Never-married,Exec-managerial,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
878,Adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,Standard Full-time Work,United-States,>50K
23897,Adult,Local-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,>50K
24687,Adult,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,Standard Full-time Work,United-States,<=50K
34593,Young Adult,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,Heavy Overtime,United-States,<=50K
46867,Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Extended Work Hours,United-States,<=50K
21379,Young Adult,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
16056,Adult,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,Overtime Work,United-States,<=50K
16074,Adult,Private,Some-college,Divorced,Exec-managerial,Unmarried,White,Female,Standard Full-time Work,United-States,<=50K
22437,Young Adult,Private,HS-grad,Divorced,Tech-support,Unmarried,White,Female,Reduced Full-time Work,United-States,<=50K
24665,Adult,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,Standard Full-time Work,United-States,>50K
36388,Young Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Extended Work Hours,United-States,<=50K
36990,Young Adult,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,Reduced Full-time Work,United-States,<=50K
6611,Elderly,Local-gov,HS-grad,Widowed,Adm-clerical,Unmarried,White,Female,Reduced Full-time Work,United-States,<=50K
7204,Young Adult,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
44974,Teen,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
39674,Teen,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,Standard Full-time Work,United-States,<=50K
21098,Teen,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
38995,Young Adult,State-gov,Some-college,Separated,Transport-moving,Not-in-family,Black,Male,Standard Full-time Work,United-States,<=50K
2278,Teen,Private,10th,Never-married,Sales,Other-relative,White,Female,Part-time Work,United-States,<=50K
19074,Young Adult,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,<=50K
20511,Adult,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,Heavy Overtime,Mexico,<=50K
12050,Middle-aged Adult,Private,Bachelors,Divorced,Sales,Not-in-family,White,Female,Reduced Full-time Work,United-States,<=50K
19791,Adult,Local-gov,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,Overtime Work,United-States,>50K
13852,Adult,Private,Assoc-acdm,Never-married,Other-service,Other-relative,White,Male,Reduced Full-time Work,United-States,<=50K
17981,Middle-aged Adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,Extended Work Hours,United-States,<=50K
10582,Middle-aged Adult,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,Standard Full-time Work,United-States,>50K
15527,Teen,Private,11th,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Male,Reduced Full-time Work,United-States,<=50K
15115,Young Adult,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,Extended Work Hours,United-States,<=50K
599,Adult,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
10406,Young Adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Extended Work Hours,United-States,>50K
47610,Elderly,Private,11th,Married-civ-spouse,Prof-specialty,Husband,White,Male,Part-time Work,United-States,>50K
42776,Young Adult,Private,10th,Married-civ-spouse,Transport-moving,Husband,White,Male,Standard Full-time Work,Mexico,<=50K
29944,Adult,Federal-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,>50K
2382,Adult,Private,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
7036,Adult,Private,Some-college,Divorced,Sales,Unmarried,White,Female,Extended Work Hours,England,<=50K
10391,Adult,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,<=50K
20307,Adult,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,Standard Full-time Work,United-States,>50K
39049,Adult,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Black,Male,Standard Full-time Work,United-States,<=50K
36605,Adult,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,<=50K
43342,Adult,Private,10th,Married-civ-spouse,Adm-clerical,Wife,White,Female,Reduced Full-time Work,United-States,<=50K
45918,Middle-aged Adult,Private,HS-grad,Widowed,Adm-clerical,Other-relative,Black,Female,Standard Full-time Work,United-States,<=50K
45678,Young Adult,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,Reduced Full-time Work,United-States,>50K
35481,Elderly,Private,7th-8th,Divorced,Prof-specialty,Not-in-family,White,Female,Part-time Work,United-States,<=50K
26362,Young Adult,Private,Some-college,Married-civ-spouse,Exec-managerial,Own-child,White,Female,Standard Full-time Work,Japan,<=50K
17243,Adult,Self-emp-inc,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,Overtime Work,United-States,<=50K
11956,Middle-aged Adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,Reduced Full-time Work,United-States,<=50K
21723,Young Adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Overtime Work,United-States,>50K
26682,Teen,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,Reduced Full-time Work,United-States,<=50K
10787,Elderly,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,Reduced Full-time Work,United-States,<=50K
47812,Middle-aged Adult,Private,Assoc-voc,Divorced,Adm-clerical,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
32543,Adult,Local-gov,Assoc-acdm,Divorced,Prof-specialty,Unmarried,White,Female,Extended Work Hours,United-States,<=50K
37223,Adult,Private,HS-grad,Separated,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,Standard Full-time Work,Philippines,<=50K
3850,Adult,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,Extended Work Hours,United-States,>50K
25290,Middle-aged Adult,Self-emp-not-inc,Prof-school,Divorced,Prof-specialty,Not-in-family,White,Male,Heavy Overtime,United-States,>50K
28210,Middle-aged Adult,Private,12th,Widowed,Prof-specialty,Not-in-family,White,Male,Reduced Full-time Work,United-States,<=50K
25167,Teen,Private,Some-college,Never-married,Sales,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
10712,Adult,Federal-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Male,Standard Full-time Work,United-States,<=50K
28938,Teen,Private,7th-8th,Never-married,Other-service,Other-relative,Asian-Pac-Islander,Female,Standard Full-time Work,Philippines,<=50K
33932,Adult,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,Male,Overtime Work,United-States,<=50K
37439,Middle-aged Adult,Private,Some-college,Divorced,Adm-clerical,Other-relative,White,Female,Standard Full-time Work,United-States,<=50K
35360,Teen,Private,Some-college,Never-married,Other-service,Own-child,White,Male,Reduced Full-time Work,United-States,<=50K
28618,Young Adult,Private,Some-college,Separated,Adm-clerical,Unmarried,Black,Female,Standard Full-time Work,United-States,<=50K
22885,Teen,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
14602,Middle-aged Adult,Private,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
33581,Adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,Standard Full-time Work,United-States,<=50K
11049,Middle-aged Adult,Private,Bachelors,Married-civ-spouse,Craft-repair,Other-relative,White,Male,Standard Full-time Work,United-States,<=50K
43814,Middle-aged Adult,Private,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
38054,Adult,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,Extended Work Hours,United-States,>50K
33495,Middle-aged Adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Standard Full-time Work,United-States,<=50K
5258,Teen,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
39019,Young Adult,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Standard Full-time Work,United-States,<=50K
3796,Middle-aged Adult,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,Part-time Work,United-States,<=50K
8724,Middle-aged Adult,Self-emp-inc,10th,Married-civ-spouse,Sales,Husband,White,Male,Standard Full-time Work,United-States,<=50K
42559,Young Adult,Private,11th,Married-civ-spouse,Protective-serv,Husband,White,Male,Standard Full-time Work,United-States,<=50K
8603,Middle-aged Adult,Local-gov,7th-8th,Widowed,Other-service,Not-in-family,Black,Female,Reduced Full-time Work,United-States,<=50K
17742,Teen,Private,Some-college,Never-married,Sales,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
10589,Young Adult,Local-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,Overtime Work,United-States,>50K
24881,Adult,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,Standard Full-time Work,United-States,<=50K
42118,Teen,Private,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
6304,Middle-aged Adult,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,Extended Work Hours,United-States,>50K
36342,Middle-aged Adult,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
3184,Middle-aged Adult,State-gov,Bachelors,Never-married,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,Standard Full-time Work,United-States,>50K
16450,Adult,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,Reduced Full-time Work,United-States,<=50K
490,Adult,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,Reduced Full-time Work,United-States,<=50K
19259,Teen,Self-emp-not-inc,Assoc-acdm,Never-married,Sales,Not-in-family,White,Male,Extended Work Hours,United-States,<=50K
10716,Middle-aged Adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,Standard Full-time Work,United-States,>50K
20979,Young Adult,Private,Some-college,Never-married,Tech-support,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
22583,Teen,Private,Some-college,Never-married,Handlers-cleaners,Unmarried,Amer-Indian-Eskimo,Female,Reduced Full-time Work,United-States,<=50K
27733,Young Adult,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
37628,Young Adult,Private,HS-grad,Never-married,Adm-clerical,Own-child,Amer-Indian-Eskimo,Female,Standard Full-time Work,United-States,<=50K
11607,Adult,Private,HS-grad,Divorced,Machine-op-inspct,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
3361,Teen,Private,11th,Never-married,Priv-house-serv,Other-relative,White,Female,Standard Full-time Work,Mexico,<=50K
38132,Adult,Private,Assoc-acdm,Separated,Exec-managerial,Unmarried,White,Female,Standard Full-time Work,United-States,<=50K
41784,Adult,Self-emp-inc,Some-college,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,Reduced Full-time Work,United-States,<=50K
32958,Middle-aged Adult,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,Part-time Work,United-States,<=50K
35698,Elderly,Local-gov,Some-college,Widowed,Machine-op-inspct,Not-in-family,White,Male,Reduced Full-time Work,United-States,<=50K
41968,Adult,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,Standard Full-time Work,United-States,>50K
28613,Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,>50K
35638,Adult,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,Standard Full-time Work,United-States,<=50K
16540,Young Adult,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
48103,Adult,Private,Some-college,Divorced,Other-service,Unmarried,White,Female,Reduced Full-time Work,United-States,<=50K
48278,Teen,Private,HS-grad,Never-married,Exec-managerial,Other-relative,White,Female,Standard Full-time Work,United-States,<=50K
23919,Adult,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,Standard Full-time Work,United-States,>50K
43267,Middle-aged Adult,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,Heavy Overtime,United-States,<=50K
25012,Middle-aged Adult,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,>50K
44970,Adult,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,Mexico,<=50K
6114,Middle-aged Adult,Self-emp-inc,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,Extended Work Hours,United-States,<=50K
4333,Young Adult,Self-emp-inc,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,Extended Work Hours,United-States,<=50K
36715,Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,>50K
48485,Teen,Private,HS-grad,Never-married,Prof-specialty,Own-child,White,Male,Part-time Work,United-States,<=50K
40528,Teen,Private,HS-grad,Married-civ-spouse,Protective-serv,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
46077,Adult,Self-emp-not-inc,Bachelors,Divorced,Other-service,Unmarried,White,Female,Extended Work Hours,United-States,<=50K
4821,Adult,Private,Bachelors,Divorced,Sales,Unmarried,White,Female,Extended Work Hours,United-States,<=50K
41965,Middle-aged Adult,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,Standard Full-time Work,United-States,>50K
16773,Adult,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
17060,Middle-aged Adult,Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Standard Full-time Work,United-States,<=50K
38102,Young Adult,Private,10th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Standard Full-time Work,United-States,<=50K
33921,Young Adult,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,Extended Work Hours,United-States,>50K
21724,Adult,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,Standard Full-time Work,United-States,>50K
11432,Young Adult,Private,Some-college,Divorced,Tech-support,Not-in-family,White,Male,Extended Work Hours,United-States,<=50K
17650,Young Adult,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,Standard Full-time Work,United-States,>50K
24347,Adult,Private,HS-grad,Separated,Sales,Unmarried,White,Female,Part-time Work,United-States,<=50K
8833,Young Adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Standard Full-time Work,United-States,>50K
21329,Adult,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
24640,Teen,Private,12th,Never-married,Machine-op-inspct,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
2643,Adult,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,>50K
12725,Adult,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,Standard Full-time Work,Philippines,>50K
35247,Teen,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,Part-time Work,United-States,<=50K
615,Adult,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,Overtime Work,United-States,<=50K
37843,Adult,Private,Masters,Divorced,Adm-clerical,Unmarried,White,Female,Standard Full-time Work,United-States,<=50K
12111,Teen,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
28271,Adult,Private,HS-grad,Never-married,Prof-specialty,Unmarried,Black,Female,Standard Full-time Work,United-States,<=50K
3046,Middle-aged Adult,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Male,Reduced Full-time Work,United-States,<=50K
20075,Adult,Local-gov,Assoc-voc,Divorced,Exec-managerial,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
26661,Young Adult,Private,Masters,Never-married,Tech-support,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
9440,Adult,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,<=50K
18376,Young Adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,Reduced Full-time Work,United-States,<=50K
36921,Adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,Overtime Work,United-States,>50K
42170,Teen,Local-gov,Some-college,Never-married,Prof-specialty,Own-child,White,Female,Reduced Full-time Work,United-States,<=50K
15085,Middle-aged Adult,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,Extended Work Hours,United-States,>50K
28917,Adult,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,Extended Work Hours,United-States,<=50K
15083,Middle-aged Adult,Private,Bachelors,Widowed,Other-service,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
30685,Adult,Self-emp-not-inc,11th,Separated,Other-service,Unmarried,White,Female,Reduced Full-time Work,United-States,<=50K
16150,Teen,Private,Some-college,Never-married,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,Reduced Full-time Work,United-States,<=50K
11479,Adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,Overtime Work,United-States,<=50K
1269,Adult,Local-gov,Bachelors,Divorced,Protective-serv,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
26370,Young Adult,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Male,Extended Work Hours,United-States,>50K
9034,Teen,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,Reduced Full-time Work,United-States,<=50K
29089,Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,<=50K
37273,Adult,Private,7th-8th,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,Reduced Full-time Work,China,<=50K
48687,Adult,Private,Assoc-voc,Separated,Adm-clerical,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
2056,Adult,State-gov,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,Standard Full-time Work,United-States,>50K
3612,Middle-aged Adult,Federal-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,Black,Male,Standard Full-time Work,United-States,>50K
38349,Young Adult,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,Standard Full-time Work,United-States,<=50K
